utdate	obsnum	subsysnr	subbands	file_id	instrume	obs_type
20190428	9	1	250MHzx8192	a20190428_00009_01_0003.sdf	HARP	science
20190428	9	1	250MHzx8192	a20190428_00009_01_0004.sdf	HARP	science
20190428	13	1	250MHzx4096	a20190428_00013_01_0001.sdf	HARP	science
20190428	13	1	250MHzx4096	a20190428_00013_02_0001.sdf	HARP	science
20190428	13	2	250MHzx4096	a20190428_00013_01_0001.sdf	HARP	science
20190428	13	2	250MHzx4096	a20190428_00013_02_0001.sdf	HARP	science
20190428	14	1	250MHzx4096	a20190428_00014_01_0001.sdf	HARP	science
20190428	14	1	250MHzx4096	a20190428_00014_02_0001.sdf	HARP	science
20190428	14	2	250MHzx4096	a20190428_00014_01_0001.sdf	HARP	science
20190428	14	2	250MHzx4096	a20190428_00014_02_0001.sdf	HARP	science
20190428	15	1	250MHzx4096	a20190428_00015_01_0001.sdf	HARP	science
20190428	15	1	250MHzx4096	a20190428_00015_02_0001.sdf	HARP	science
20190428	15	2	250MHzx4096	a20190428_00015_01_0001.sdf	HARP	science
20190428	15	2	250MHzx4096	a20190428_00015_02_0001.sdf	HARP	science
20190428	16	1	250MHzx4096	a20190428_00016_01_0001.sdf	HARP	science
20190428	16	1	250MHzx4096	a20190428_00016_02_0001.sdf	HARP	science
20190428	16	2	250MHzx4096	a20190428_00016_01_0001.sdf	HARP	science
20190428	16	2	250MHzx4096	a20190428_00016_02_0001.sdf	HARP	science
20190428	17	1	250MHzx4096	a20190428_00017_01_0001.sdf	HARP	science
20190428	17	1	250MHzx4096	a20190428_00017_02_0001.sdf	HARP	science
20190428	17	2	250MHzx4096	a20190428_00017_01_0001.sdf	HARP	science
20190428	17	2	250MHzx4096	a20190428_00017_02_0001.sdf	HARP	science
20190428	20	1	1000MHzx2048	a20190428_00020_01_0001.sdf	HARP	science
20190428	21	1	1000MHzx2048	a20190428_00021_01_0001.sdf	HARP	science
20190428	22	1	1000MHzx2048	a20190428_00022_01_0001.sdf	HARP	science
20190428	23	1	1000MHzx2048	a20190428_00023_01_0001.sdf	HARP	science
20190428	28	1	1000MHzx2048	a20190428_00028_01_0001.sdf	HARP	science
20190428	29	1	1000MHzx2048	a20190428_00029_01_0001.sdf	HARP	science
20190428	32	1	1000MHzx2048	a20190428_00032_01_0001.sdf	HARP	science
20190428	34	1	1000MHzx2048	a20190428_00034_01_0001.sdf	HARP	science
20190428	35	1	1000MHzx2048	a20190428_00035_01_0001.sdf	HARP	science
20190428	36	1	1000MHzx2048	a20190428_00036_01_0001.sdf	HARP	science
20190428	37	1	1000MHzx2048	a20190428_00037_01_0001.sdf	HARP	science
20190428	40	1	1000MHzx2048	a20190428_00040_01_0001.sdf	HARP	science
20190428	41	1	1000MHzx2048	a20190428_00041_01_0001.sdf	HARP	science
20190428	44	1	1000MHzx1024	a20190428_00044_01_0001.sdf	HARP	science
20190428	44	1	1000MHzx1024	a20190428_00044_02_0001.sdf	HARP	science
20190428	44	2	1000MHzx1024	a20190428_00044_01_0001.sdf	HARP	science
20190428	44	2	1000MHzx1024	a20190428_00044_02_0001.sdf	HARP	science
20190428	45	1	1000MHzx1024	a20190428_00045_01_0001.sdf	HARP	science
20190428	45	1	1000MHzx1024	a20190428_00045_02_0001.sdf	HARP	science
20190428	45	2	1000MHzx1024	a20190428_00045_01_0001.sdf	HARP	science
20190428	45	2	1000MHzx1024	a20190428_00045_02_0001.sdf	HARP	science
20190428	47	1	1000MHzx1024	a20190428_00047_01_0001.sdf	HARP	science
20190428	47	1	1000MHzx1024	a20190428_00047_02_0001.sdf	HARP	science
20190428	47	2	1000MHzx1024	a20190428_00047_01_0001.sdf	HARP	science
20190428	47	2	1000MHzx1024	a20190428_00047_02_0001.sdf	HARP	science
20190428	48	1	1000MHzx1024	a20190428_00048_01_0001.sdf	HARP	science
20190428	48	1	1000MHzx1024	a20190428_00048_02_0001.sdf	HARP	science
20190428	48	2	1000MHzx1024	a20190428_00048_01_0001.sdf	HARP	science
